0,0,77,0.00,0.00,1024
1,0,77,0.00,0.00,1024
2,0,535,3.25,7.61,48
3,0,535,3.25,7.61,48
6,0,526,12.26,15.58,144
7,0,35,4.96,7.66,540
8,0,86,8.94,11.50,1008
9,0,86,2.95,10.17,1008
10,0,283,7.16,7.25,1024
11,0,535,3.25,7.61,48
27,0,35,13.48,18.17,540
28,0,526,12.53,13.15,144
29,0,530,7.03,7.75,48
30,0,284,9.97,10.36,956
31,0,77,4.04,4.04,1024
32,0,35,5.41,7.39,540
33,0,35,5.68,8.15,540
34,0,35,9.32,10.16,540
35,0,35,7.09,8.49,540
36,0,23,8.30,17.54,124
37,0,530,12.61,16.75,48
48,0,85,28.54,34.60,448
49,0,158,34.08,36.74,548
50,0,126,27.03,31.38,96
51,0,126,3.94,4.03,96
52,0,86,19.26,20.44,1008
53,0,23,15.13,16.28,124
54,0,530,10.53,14.04,48
55,0,535,11.97,14.87,48
56,0,526,13.09,14.57,144
57,0,1,6.48,6.94,216
58,0,3,3.94,4.86,288
59,0,34,10.81,11.32,584
0,1,77,0.00,0.00,1024
1,1,77,0.00,0.00,1024
2,1,530,8.11,9.75,48
3,1,530,8.06,12.08,48
6,1,38,7.85,8.01,664
7,1,38,10.53,13.46,664
8,1,86,6.27,13.94,1008
9,1,86,3.91,14.60,1008
10,1,528,7.46,8.34,972
11,1,535,3.25,7.61,48
12,1,20,25.90,31.76,68
13,1,23,7.76,16.33,124
26,1,35,29.80,46.81,540
27,1,38,18.01,23.23,664
28,1,35,5.51,6.22,540
29,1,35,5.45,6.13,540
30,1,526,10.18,11.56,144
31,1,535,3.92,4.78,48
32,1,35,5.44,6.71,540
33,1,35,5.36,10.23,540
34,1,35,5.99,7.00,540
35,1,35,10.11,10.55,540
36,1,38,7.05,7.76,664
37,1,530,34.67,39.36,48
44,1,7,9.03,18.71,96
45,1,1,3.70,6.94,216
46,1,3,3.24,4.47,288
47,1,8,6.94,20.28,96
48,1,7,6.94,17.92,96
49,1,8,6.94,12.88,96
50,1,1,19.53,21.94,216
51,1,1,2.78,6.94,216
52,1,3,3.24,4.47,288
53,1,3,2.55,4.07,288
54,1,3,2.08,3.66,288
55,1,2,4.07,5.09,328
56,1,3,3.01,3.66,288
57,1,8,6.94,7.49,96
58,1,33,14.46,14.85,980
59,1,526,12.99,14.89,144
0,2,77,3.69,3.69,1024
1,2,535,5.47,9.83,48
2,2,526,7.83,9.12,144
3,2,535,3.25,7.61,48
4,2,21,14.91,15.66,88
5,2,23,10.76,13.60,124
6,2,23,8.48,13.64,124
7,2,10,7.70,9.29,648
8,2,526,12.53,13.15,144
9,2,530,7.03,7.75,48
10,2,284,9.97,10.36,956
11,2,77,4.04,4.04,1024
12,2,23,10.84,12.61,124
13,2,38,7.00,7.76,664
14,2,530,9.06,11.25,48
27,2,526,12.61,16.12,144
28,2,35,3.95,4.81,540
29,2,37,6.18,6.56,924
30,2,35,6.79,8.46,540
31,2,526,6.06,7.22,144
32,2,35,5.43,8.25,540
33,2,87,7.80,8.02,924
34,2,35,4.81,8.11,540
35,2,530,7.92,9.44,48
44,2,20,25.90,31.37,68
45,2,7,10.67,10.96,96
46,2,33,15.55,15.61,980
47,2,7,13.39,14.70,96
48,2,33,13.72,15.77,980
49,2,7,13.39,14.28,96
50,2,98,17.83,19.49,124
51,2,33,16.28,16.92,980
52,2,33,15.55,15.61,980
53,2,7,13.39,14.70,96
54,2,33,13.72,15.77,980
55,2,7,13.39,14.28,96
56,2,7,14.39,14.91,96
57,2,98,19.04,19.72,124
58,2,530,13.89,15.08,48
59,2,526,12.89,13.68,144
0,3,535,3.25,7.61,48
1,3,535,3.25,7.37,48
2,3,104,10.12,10.12,792
4,3,85,22.98,25.41,448
5,3,526,12.53,13.90,144
6,3,35,6.52,8.22,540
7,3,35,6.92,9.17,540
8,3,35,5.51,6.22,540
9,3,35,5.45,6.13,540
10,3,526,10.18,11.56,144
11,3,535,3.92,4.78,48
12,3,10,8.45,8.54,648
13,3,35,8.25,9.40,540
14,3,158,16.49,19.81,548
18,3,20,34.67,36.50,68
20,3,207,33.41,33.41,204
21,3,207,33.41,34.67,204
27,3,38,12.18,16.84,664
28,3,36,9.79,13.17,1020
29,3,36,11.53,14.11,1020
30,3,37,9.04,9.47,924
31,3,535,3.25,5.60,48
32,3,35,7.76,7.76,540
33,3,35,4.72,7.19,540
34,3,35,5.19,6.23,540
35,3,530,10.58,11.78,48
44,3,101,19.81,19.81,608
45,3,530,9.14,13.17,48
46,3,535,5.92,9.39,48
47,3,535,3.25,7.61,48
48,3,535,3.25,6.55,48
49,3,535,3.25,7.61,48
50,3,535,5.92,9.14,48
51,3,535,3.25,7.61,48
52,3,535,5.92,9.39,48
53,3,535,3.25,7.61,48
54,3,535,3.25,6.55,48
55,3,535,3.25,7.61,48
56,3,535,3.25,7.61,48
57,3,535,3.25,7.61,48
58,3,535,3.25,7.61,48
59,3,535,3.25,3.35,48
0,4,535,3.25,7.61,48
1,4,535,3.25,7.61,48
2,4,535,4.78,7.57,48
3,4,535,21.56,22.69,48
4,4,23,22.91,28.75,124
5,4,10,7.43,9.31,648
6,4,35,5.14,7.63,540
7,4,35,6.00,8.16,540
8,4,35,3.95,4.81,540
9,4,37,6.18,6.56,924
10,4,35,6.79,8.46,540
11,4,35,6.29,7.15,540
12,4,35,7.80,8.63,540
13,4,35,6.41,9.29,540
14,4,35,4.32,6.93,540
15,4,530,6.22,7.25,48
16,4,23,28.04,31.06,124
19,4,209,34.64,34.67,204
20,4,207,33.41,33.41,204
27,4,126,33.62,42.40,96
28,4,23,15.87,17.68,124
29,4,86,9.69,13.78,1008
30,4,98,9.73,9.98,124
31,4,77,3.29,3.29,1024
32,4,530,9.67,9.81,48
33,4,35,4.02,6.06,540
34,4,35,5.31,7.97,540
35,4,35,5.06,6.36,540
36,4,23,12.43,12.61,124
44,4,526,22.62,23.98,144
45,4,535,5.47,9.83,48
46,4,526,7.83,9.28,144
47,4,535,5.47,9.83,48
48,4,531,8.48,10.55,144
49,4,98,14.97,17.20,124
50,4,531,8.96,9.32,144
51,4,535,6.56,9.81,48
52,4,526,7.83,9.28,144
53,4,535,5.47,9.83,48
54,4,531,8.48,10.55,144
55,4,98,14.97,17.20,124
56,4,531,8.96,9.32,144
57,4,535,6.56,9.81,48
58,4,526,7.83,9.28,144
59,4,535,5.47,9.83,48
0,5,530,8.11,9.75,48
1,5,77,4.04,4.04,1024
2,5,77,3.76,3.76,1024
3,5,535,5.36,7.06,48
4,5,530,9.06,9.47,48
5,5,23,10.02,10.86,124
6,5,35,4.18,5.46,540
7,5,35,5.95,8.25,540
8,5,36,9.82,13.17,1020
9,5,36,11.53,14.11,1020
10,5,37,9.04,9.47,924
11,5,535,3.25,7.61,48
12,5,23,12.55,14.06,124
13,5,35,8.44,9.19,540
14,5,35,4.41,6.68,540
15,5,530,7.11,8.14,48
16,5,530,10.58,13.33,48
19,5,209,34.42,35.12,204
20,5,207,33.78,33.78,204
21,5,207,33.41,33.41,204
22,5,530,28.50,32.69,48
27,5,23,24.45,25.17,124
28,5,530,13.11,14.61,48
29,5,86,4.31,10.70,1008
30,5,526,10.18,12.24,144
31,5,77,1.72,1.72,1024
32,5,535,3.92,7.97,48
33,5,98,11.91,11.94,124
34,5,128,13.01,15.42,240
35,5,126,11.50,12.23,96
36,5,130,13.30,16.29,92
38,5,128,9.10,11.50,240
39,5,130,17.62,29.78,92
45,5,101,22.19,22.19,608
46,5,104,10.12,10.12,792
47,5,158,12.59,12.59,548
48,5,233,11.68,12.00,640
49,5,526,12.22,12.53,144
50,5,35,7.24,7.97,540
51,5,526,7.06,8.62,144
52,5,535,7.97,8.78,48
53,5,526,6.53,7.93,144
54,5,53,5.77,5.77,1024
55,5,530,6.22,7.25,48
56,5,535,7.97,8.78,48
57,5,530,6.22,7.25,48
58,5,104,10.12,10.12,792
59,5,526,7.68,9.17,144
0,6,531,6.00,6.27,144
1,6,526,12.48,14.45,144
2,6,535,3.47,3.80,48
3,6,77,3.40,3.40,1024
4,6,535,4.78,7.57,48
5,6,535,6.83,7.97,48
6,6,35,7.34,8.59,540
7,6,35,4.70,6.35,540
8,6,530,13.39,14.92,48
9,6,86,9.69,13.78,1008
10,6,98,9.73,9.98,124
11,6,77,3.15,3.15,1024
12,6,10,8.16,9.48,648
13,6,35,8.77,9.17,540
14,6,35,6.78,7.03,540
15,6,530,6.22,7.25,48
16,6,38,14.75,15.56,664
17,6,23,22.99,30.42,124
18,6,23,31.12,34.17,124
20,6,209,33.78,33.87,204
21,6,526,28.39,29.58,144
22,6,530,24.22,28.42,48
26,6,128,26.67,28.40,240
27,6,23,26.45,26.51,124
28,6,86,8.81,11.50,1008
29,6,86,2.95,10.17,1008
30,6,283,7.16,7.25,1024
31,6,77,0.38,0.38,1024
32,6,530,6.28,6.58,48
33,6,85,8.29,10.87,448
34,6,85,22.79,24.39,448
35,6,85,15.37,34.83,448
38,6,85,11.46,20.66,448
49,6,10,7.43,9.31,648
50,6,35,6.21,7.90,540
51,6,35,4.33,6.79,540
52,6,37,6.29,6.70,924
53,6,35,7.88,8.91,540
54,6,10,3.48,4.67,648
55,6,35,4.25,6.00,540
56,6,530,10.08,12.56,48
58,6,526,8.31,12.40,144
59,6,283,4.72,5.89,1024
0,7,530,8.11,9.75,48
1,7,77,3.68,3.68,1024
2,7,535,3.25,3.42,48
3,7,77,4.48,4.48,1024
4,7,233,21.97,22.72,640
5,7,77,5.02,5.02,1024
6,7,35,5.07,7.41,540
7,7,35,5.06,6.54,540
8,7,23,13.41,14.61,124
9,7,86,4.31,10.70,1008
10,7,526,10.18,12.24,144
11,7,535,3.92,4.46,48
12,7,10,7.46,8.65,648
13,7,10,7.98,9.63,648
14,7,37,7.15,8.10,924
15,7,37,8.36,8.94,924
16,7,530,6.22,7.25,48
17,7,257,22.64,22.89,712
18,7,23,22.78,30.41,124
19,7,530,28.50,32.69,48
20,7,209,33.41,33.58,204
21,7,526,26.23,27.19,144
22,7,23,23.06,24.22,124
24,7,126,28.60,35.24,96
25,7,128,26.98,28.77,240
26,7,23,25.73,28.24,124
27,7,526,12.76,13.43,144
28,7,86,6.70,15.06,1008
29,7,86,3.91,14.60,1008
30,7,528,7.46,8.34,972
31,7,77,1.36,1.36,1024
32,7,35,5.65,6.22,540
33,7,35,6.76,7.11,540
34,7,23,10.60,12.61,124
36,7,131,28.11,28.83,120
47,7,526,26.26,28.60,144
48,7,530,9.06,9.47,48
49,7,23,10.02,10.86,124
50,7,35,5.41,7.33,540
51,7,35,6.59,6.89,540
52,7,35,5.65,6.22,540
53,7,35,6.76,7.11,540
54,7,35,5.58,7.35,540
55,7,35,4.49,5.37,540
56,7,23,10.60,12.61,124
57,7,530,11.58,12.71,48
58,7,257,8.40,16.70,712
59,7,283,5.55,5.65,1024
0,8,535,3.25,7.61,48
1,8,535,3.25,3.58,48
2,8,77,2.79,2.79,1024
4,8,535,16.11,18.14,48
5,8,535,4.92,5.40,48
6,8,35,4.75,7.50,540
7,8,35,5.44,9.06,540
8,8,86,9.35,11.50,1008
9,8,7,6.94,8.46,96
10,8,5,5.83,6.94,216
11,8,7,9.72,9.72,96
12,8,8,9.72,10.19,96
